laptop_ID,Company,Product,TypeName,Inches,ScreenResolution,Cpu,Ram,Memory,Gpu,OpSys,Weight,Price_euros
1002,Dell,Inspiron 5567,Notebook,15.6,HD,i7,8,HDD,Dedicated,Windows 10,2.36,749.0
867,Asus,Other,Notebook,15.6,HD,Pentium,4,HDD,Integrated,Windows 10,2.0,449.0
966,Toshiba,Other,Notebook,13.3,Full HD,i5,8,SSD,Integrated,Windows 7,1.2,1460.0
767,Dell,Alienware 17,Gaming,15.6,4K,i7,16,Hybrid,Dedicated,Windows 10,4.42,2868.99
1241,Dell,Other,Ultrabook,12.5,Full HD,i5,8,SSD,Integrated,Windows 7,1.26,1713.37
376,Asus,Other,2 in 1 Convertible,15.6,Full HD,i7,12,Hybrid,Dedicated,Windows 10,2.26,1099.0
60,Asus,Other,Notebook,15.6,Full HD,i3,4,SSD,Integrated,Linux,2.0,415.0
1157,MSI,Other,Gaming,15.6,Full HD,i7,8,Hybrid,Dedicated,Windows 10,2.4,1142.8
110,Asus,Other,Ultrabook,14.0,Full HD,i7,8,SSD,Dedicated,Windows 10,1.3,1193.0
1263,Asus,Other,Gaming,15.6,Full HD,i7,16,Hybrid,Dedicated,Windows 10,2.5,1600.0
1243,Asus,Other,Notebook,15.6,HD,Pentium,4,HDD,Integrated,Windows 10,2.65,309.0
79,Dell,Inspiron 5570,Notebook,15.6,Full HD,i7,8,Hybrid,Integrated,Windows 10,2.02,855.0
957,Toshiba,Other,Notebook,15.6,HD,i5,8,SSD,Integrated,Windows 10,2.2,1119.0
579,HP,Other,Notebook,15.6,Full HD,Other,6,SSD,Dedicated,Windows 10,1.95,649.0
834,Toshiba,Satellite Pro,Notebook,14.0,HD,Pentium,4,SSD,Integrated,Windows 10,1.75,499.0
82,Dell,Other,Ultrabook,15.6,Full HD,i5,8,SSD,Integrated,Windows 10,1.88,1096.16
159,Lenovo,Other,2 in 1 Convertible,14.0,Full HD,i3,4,SSD,Integrated,Windows 10,1.74,629.0
332,Acer,Other,Notebook,15.6,HD,i5,6,HDD,Integrated,Windows 10,2.23,549.0
617,Lenovo,Other,Notebook,15.6,4K,Other,32,SSD,Dedicated,Windows 10,2.5,4899.0
172,Acer,Other,Notebook,17.3,Full HD,i5,8,SSD,Dedicated,Windows 10,3.0,854.0
1097,Lenovo,Other,2 in 1 Convertible,10.1,Other,Other,4,Other,Integrated,Windows 10,0.69,646.27
717,HP,Other,Notebook,17.3,Full HD,Other,6,HDD,Dedicated,Windows 10,2.71,655.01
814,HP,EliteBook 820,Netbook,12.5,HD,i5,8,SSD,Integrated,Windows 10,1.26,1389.0
202,HP,Other,Gaming,17.3,Full HD,i7,16,Hybrid,Dedicated,Windows 10,3.35,1379.0
405,Dell,Other,Workstation,15.6,4K,i7,8,SSD,Dedicated,Windows 10,1.78,2712.0
41,Asus,Other,Notebook,15.6,Full HD,i3,4,HDD,Integrated,Linux,2.0,389.0
741,Acer,Other,Notebook,15.6,HD,i5,4,HDD,Integrated,Windows 10,2.4,559.0
983,Lenovo,Other,Notebook,15.6,Full HD,i5,6,SSD,Dedicated,Windows 10,2.4,695.0
407,Lenovo,Other,Notebook,15.6,HD,Other,4,HDD,Integrated,Windows 10,2.2,306.0
323,HP,Other,Notebook,14.0,Full HD,i5,8,SSD,Integrated,Windows 10,1.95,980.0
166,Dell,Inspiron 3576,Notebook,15.6,Full HD,i5,8,SSD,Dedicated,Windows 10,2.13,728.0
309,Asus,Other,Gaming,15.6,Full HD,i7,8,Hybrid,Dedicated,Windows 10,2.5,1265.0
1276,Lenovo,Other,Notebook,15.6,Full HD,i7,8,Other,Dedicated,Windows 7,2.32,895.0
910,Dell,Vostro 3568,Notebook,15.6,HD,i3,4,HDD,Dedicated,Windows 10,2.18,614.0
919,Acer,Other,Notebook,15.6,Full HD,Other,4,Other,Integrated,Chrome OS,2.2,359.0
1258,Lenovo,Other,Notebook,15.6,Full HD,Other,6,SSD,Dedicated,Windows 10,2.2,597.57
895,Dell,Inspiron 3552,Notebook,15.6,HD,Pentium,4,HDD,Integrated,Windows 10,2.2,369.0
1190,Asus,Other,Notebook,15.6,HD,Other,4,HDD,Integrated,Windows 10,2.2,369.0
37,Acer,Aspire 3,Notebook,15.6,HD,i3,4,HDD,Integrated,Linux,2.1,367.0
333,Asus,Other,Ultrabook,15.6,Full HD,i7,8,SSD,Dedicated,Windows 10,1.7,1049.9
933,MSI,Other,Gaming,15.6,Full HD,i5,8,Hybrid,Dedicated,Windows 10,2.2,1119.91
1066,Dell,Other,2 in 1 Convertible,15.6,Full HD,i5,8,SSD,Integrated,Windows 10,2.3,1094.0
25,HP,Other,Ultrabook,15.6,Full HD,i7,8,SSD,Integrated,Windows 10,1.91,659.0
429,HP,Other,Notebook,15.6,Full HD,i7,8,SSD,Integrated,Windows 10,2.31,1427.0
685,HP,Other,2 in 1 Convertible,11.6,HD,Other,8,Other,Integrated,Chrome OS,1.4,495.0
341,HP,EliteBook 840,Notebook,14.0,Full HD,i5,8,SSD,Integrated,Windows 10,1.48,1268.0
26,Dell,Inspiron 3567,Notebook,15.6,HD,i3,4,HDD,Integrated,Windows 10,2.3,418.64
882,Lenovo,Other,Notebook,15.6,Full HD,i3,4,HDD,Dedicated,No OS,2.2,479.0
7,Apple,MacBook Pro,Ultrabook,15.4,Other,i7,16,Other,Integrated,Mac OS X,2.04,2139.97
1100,HP,EliteBook 840,Notebook,14.0,Full HD,i5,4,HDD,Integrated,Windows 7,1.54,1030.99
555,HP,250 G6,Notebook,15.6,Full HD,i3,4,HDD,Integrated,Windows 10,1.86,397.0
1166,HP,EliteBook 850,Notebook,15.6,Full HD,i5,8,SSD,Integrated,Windows 7,1.88,1579.0
720,Dell,Vostro 5568,Notebook,15.6,Full HD,i5,8,HDD,Integrated,Linux,1.98,726.0
443,HP,Other,Notebook,15.6,HD,Other,4,HDD,Integrated,Windows 10,2.1,347.0
997,Fujitsu,Other,Notebook,15.6,HD,i5,4,SSD,Integrated,Windows 10,2.3,649.0
1051,Toshiba,Other,Ultrabook,14.0,Full HD,i7,8,SSD,Integrated,Windows 10,1.47,1725.0
762,Lenovo,Other,Ultrabook,14.0,Full HD,i5,4,SSD,Integrated,Windows 10,1.7,1096.0
1238,Lenovo,Other,Notebook,15.6,Full HD,i7,8,SSD,Integrated,Windows 10,2.3,1529.0
633,Mediacom,Other,Notebook,14.0,Full HD,Other,2,Other,Integrated,Windows 10,1.4,239.0
417,Lenovo,Other,Workstation,15.6,Full HD,i7,8,SSD,Dedicated,Windows 10,2.67,1925.0
109,Lenovo,Other,Notebook,15.6,Full HD,i3,4,HDD,Integrated,Windows 10,1.85,414.9
473,Acer,Other,Notebook,15.6,HD,i3,4,HDD,Dedicated,Windows 10,2.2,469.0
1147,Asus,Other,Notebook,14.0,HD,Other,4,Other,Integrated,Windows 10,1.5,278.0
212,Dell,XPS 13,Ultrabook,13.3,Full HD,i7,8,SSD,Integrated,Windows 10,1.2,1449.0
795,MSI,Other,Gaming,15.6,Full HD,i5,8,Hybrid,Dedicated,Windows 10,2.2,1089.0
1004,HP,Other,Netbook,12.5,Full HD,Other,8,SSD,Integrated,Windows 10,0.97,1908.0
434,Dell,Other,Ultrabook,14.0,Full HD,i7,8,SSD,Integrated,Linux,1.6,1099.0
1219,Lenovo,Other,Notebook,15.6,HD,i7,8,HDD,Dedicated,No OS,2.2,629.0
1106,HP,250 G6,Notebook,15.6,HD,i3,4,HDD,Integrated,No OS,1.86,345.99
963,Acer,Other,Notebook,14.0,HD,Other,4,Other,Integrated,Chrome OS,1.68,349.0
1052,Dell,Other,Notebook,15.6,Full HD,i5,8,SSD,Integrated,Windows 7,2.09,1062.95
168,Acer,Other,Notebook,15.6,HD,Other,4,HDD,Integrated,Windows 10,2.1,348.0
320,Dell,Inspiron 5570,Notebook,15.6,Full HD,i5,8,Hybrid,Dedicated,Windows 10,2.33,844.0
200,Razer,Other,Gaming,17.3,4K,i7,32,SSD,Dedicated,Windows 10,3.49,6099.0
681,Lenovo,Other,Notebook,15.6,HD,Other,4,SSD,Dedicated,Windows 10,2.2,349.0
1092,MSI,Other,Gaming,17.3,Full HD,i7,16,Hybrid,Dedicated,Windows 10,3.78,2499.0
670,Lenovo,IdeaPad 320-15ISK,Notebook,15.6,Full HD,i5,4,HDD,Integrated,Windows 10,2.2,535.0
1164,HP,EliteBook 820,Ultrabook,12.5,Full HD,i7,8,SSD,Integrated,Windows 7,1.26,2296.95
759,Lenovo,Other,Netbook,11.6,HD,Other,4,SSD,Integrated,Windows 10,1.4,475.0
657,Lenovo,Other,Ultrabook,12.5,Full HD,i7,8,SSD,Integrated,Windows 10,1.36,1584.0
189,Dell,Other,Notebook,17.3,Full HD,i7,16,SSD,Dedicated,Windows 10,2.77,1549.0
517,Dell,XPS 13,Ultrabook,13.3,Full HD,i5,8,SSD,Integrated,Windows 10,1.29,899.0
198,Dell,Other,2 in 1 Convertible,13.3,Full HD,i7,8,HDD,Integrated,Windows 10,1.62,839.0
498,Toshiba,Other,Ultrabook,13.3,Full HD,i7,32,SSD,Integrated,Windows 10,1.05,2799.0
127,Acer,Aspire 3,Notebook,15.6,HD,Other,4,SSD,Dedicated,Windows 10,2.1,451.0
765,HP,Other,Notebook,15.6,Full HD,i5,8,Hybrid,Dedicated,Windows 10,2.2,1099.0
274,Lenovo,Other,Notebook,15.6,Full HD,i7,8,SSD,Integrated,Windows 10,2.05,880.0
1168,Lenovo,Other,Notebook,15.6,HD,i3,4,HDD,Integrated,No OS,1.9,339.0
1320,Asus,Other,Notebook,15.6,HD,Other,4,HDD,Integrated,Windows 10,2.2,369.0
858,HP,Other,2 in 1 Convertible,13.3,Full HD,i5,8,SSD,Integrated,Windows 10,1.28,2277.0
94,HP,Other,Notebook,13.3,Full HD,i7,16,SSD,Integrated,Windows 10,1.49,1197.0
908,Dell,Inspiron 7567,Gaming,15.6,Full HD,i7,8,HDD,Dedicated,Linux,2.62,929.0
950,Dell,Vostro 3568,Notebook,15.6,HD,i3,4,HDD,Integrated,Windows 10,2.18,558.6
959,Lenovo,Other,Gaming,15.6,Full HD,Other,16,Hybrid,Dedicated,Windows 10,2.5,999.0
538,Toshiba,Satellite Pro,Notebook,15.6,Full HD,i5,8,HDD,Integrated,Windows 10,2.0,860.0
1142,HP,EliteBook 820,Ultrabook,12.5,HD,i5,8,SSD,Integrated,Windows 7,1.26,1895.0
796,Lenovo,Legion Y520-15IKBN,Gaming,15.6,Full HD,i7,4,HDD,Dedicated,Windows 10,2.4,999.0
813,Dell,Other,Netbook,11.6,HD,Pentium,4,SSD,Integrated,Windows 10,1.63,744.0
525,HP,Other,Notebook,15.6,Full HD,i5,8,SSD,Dedicated,Windows 10,2.04,889.0
603,Lenovo,Other,2 in 1 Convertible,13.3,Full HD,i7,8,SSD,Integrated,Windows 10,1.37,2025.0
596,Asus,Other,Gaming,17.3,Full HD,i5,8,Hybrid,Dedicated,Windows 10,2.73,1770.0
233,Asus,Other,Notebook,17.3,Full HD,i5,8,Hybrid,Dedicated,Windows 10,2.69,891.0
169,MSI,Other,Gaming,15.6,Full HD,i7,16,Hybrid,Dedicated,Windows 10,2.4,1799.0
899,Acer,Other,Netbook,11.6,HD,Other,4,Other,Integrated,Chrome OS,1.25,297.0
263,MSI,Other,Gaming,17.3,Full HD,i7,16,Hybrid,Dedicated,Windows 10,4.14,2499.0
242,Asus,Other,Notebook,15.6,Full HD,Other,4,Hybrid,Dedicated,Windows 10,2.2,575.0
267,HP,ProBook 450,Notebook,15.6,Full HD,i5,4,HDD,Integrated,Windows 10,2.1,722.0
781,Toshiba,Other,Notebook,14.0,HD,i5,4,SSD,Integrated,Windows 10,1.75,1020.0
1289,Lenovo,Other,2 in 1 Convertible,13.3,Other,i7,16,SSD,Integrated,Windows 10,1.3,1499.0
375,HP,Other,Ultrabook,14.0,Full HD,i7,8,SSD,Integrated,Windows 10,1.36,1750.0
1121,MSI,Other,Gaming,17.3,Full HD,i7,8,Hybrid,Dedicated,Windows 10,2.9,1511.19
644,Dell,XPS 13,Ultrabook,13.3,Other,i5,8,SSD,Integrated,Windows 10,1.23,1869.0
484,Lenovo,Other,Notebook,14.0,Full HD,i5,8,SSD,Integrated,Windows 10,1.7,1364.0
896,HP,Other,2 in 1 Convertible,13.3,Full HD,i5,4,SSD,Integrated,Windows 10,1.28,1799.0
1030,HP,ProBook 450,Notebook,15.6,HD,i3,4,SSD,Integrated,Windows 10,2.04,769.99
520,Dell,Inspiron 5570,Notebook,15.6,Full HD,i7,16,Hybrid,Dedicated,Windows 10,2.2,1219.24
810,Asus,Other,Notebook,15.6,Full HD,i5,8,SSD,Integrated,Windows 10,2.37,1099.0
119,HP,Probook 440,Notebook,14.0,Full HD,i7,8,SSD,Integrated,Windows 10,1.63,1084.0
1016,Dell,Vostro 3568,Notebook,15.6,HD,i3,4,SSD,Integrated,Windows 10,2.18,547.0
412,Asus,Other,Ultrabook,14.0,Full HD,i7,8,SSD,Integrated,Windows 10,1.1,1873.0
165,Acer,Other,Notebook,17.3,Full HD,i5,4,SSD,Dedicated,Windows 10,3.0,805.0
712,Lenovo,Other,Notebook,15.6,HD,i3,4,HDD,Integrated,No OS,1.9,450.0
432,Dell,Inspiron 7577,Gaming,15.6,Full HD,i7,8,Hybrid,Dedicated,Windows 10,2.62,1159.0
1206,Dell,XPS 13,Ultrabook,13.3,Other,i5,8,SSD,Integrated,Linux,1.23,1099.0
561,HP,ProBook 470,Notebook,17.3,Full HD,i7,8,HDD,Dedicated,Windows 10,2.63,1280.0
599,Dell,Other,2 in 1 Convertible,11.6,HD,Other,4,SSD,Integrated,Windows 10,1.39,603.0
601,Lenovo,Other,Notebook,17.3,Full HD,i3,4,HDD,Integrated,No OS,2.8,529.0
132,HP,ProBook 470,Notebook,17.3,Full HD,i5,8,SSD,Integrated,Windows 10,2.5,928.0
1139,Asus,Other,Notebook,15.6,HD,i3,4,HDD,Integrated,Windows 10,2.0,435.0
129,HP,Probook 440,Notebook,14.0,Full HD,i5,8,HDD,Integrated,Windows 10,1.63,812.0
838,Acer,Other,Notebook,14.0,Full HD,i3,8,SSD,Integrated,Windows 10,1.5,619.0
3,HP,250 G6,Notebook,15.6,Full HD,i5,8,SSD,Integrated,No OS,1.86,575.0
371,HP,Other,Notebook,15.6,HD,Pentium,8,HDD,Integrated,Windows 10,2.04,389.0
806,Dell,Other,Notebook,15.6,HD,i5,8,SSD,Integrated,Windows 10,1.95,810.0
625,MSI,Other,Gaming,15.6,Full HD,i7,16,Hybrid,Dedicated,Windows 10,2.94,2267.86
298,Dell,XPS 15,Notebook,15.6,Full HD,i7,8,SSD,Dedicated,Windows 10,2.0,1829.0
424,HP,Other,Ultrabook,14.0,Full HD,i7,8,SSD,Integrated,Windows 10,1.43,1500.0
337,Toshiba,Satellite Pro,Notebook,15.6,Full HD,i5,8,SSD,Integrated,Windows 10,2.0,943.0
1247,MSI,Other,Gaming,15.6,Full HD,i7,8,Hybrid,Dedicated,Windows 10,2.2,1149.0
878,Lenovo,Other,2 in 1 Convertible,13.3,Full HD,i7,8,SSD,Integrated,Windows 10,1.37,1950.0
347,Lenovo,Other,Notebook,15.6,Full HD,Other,12,HDD,Dedicated,Windows 10,2.2,899.0
939,Dell,Other,Notebook,15.6,HD,i5,4,HDD,Integrated,Windows 10,1.95,729.9
984,Dell,XPS 13,2 in 1 Convertible,13.3,Other,i7,16,SSD,Integrated,Windows 10,1.22,1899.0
187,Toshiba,Satellite Pro,Notebook,15.6,HD,i5,8,SSD,Integrated,Windows 10,2.0,793.0
478,HP,Other,Notebook,15.6,Full HD,i5,8,HDD,Dedicated,Windows 10,1.9,1154.0
989,HP,Other,Notebook,15.6,Full HD,i5,8,Hybrid,Dedicated,Windows 10,2.04,979.0
559,Dell,Alienware 17,Gaming,17.3,Full HD,i7,16,Hybrid,Dedicated,Windows 10,4.42,2699.0
1213,HP,Other,Notebook,15.6,Full HD,i7,12,Hybrid,Dedicated,Windows 10,2.21,1327.0
142,HP,Other,Notebook,13.3,Full HD,i5,4,SSD,Integrated,Windows 10,1.32,699.0
1141,Lenovo,Other,2 in 1 Convertible,10.1,Other,Other,4,Other,Integrated,Windows 10,0.69,479.0
64,Asus,Other,Notebook,14.0,Full HD,i5,8,SSD,Integrated,Windows 10,1.4,941.0
410,Acer,Other,Notebook,15.6,Full HD,i7,8,SSD,Dedicated,Linux,2.5,879.0
859,HP,EliteBook 840,Ultrabook,14.0,Full HD,i7,8,SSD,Integrated,Windows 10,1.54,1468.0
359,HP,Other,Workstation,15.6,Full HD,i7,8,SSD,Dedicated,Windows 10,2.6,1738.27
574,Fujitsu,Other,Notebook,15.6,HD,i5,8,HDD,Integrated,Windows 10,2.2,739.0
885,Samsung,Other,Ultrabook,15.0,Full HD,i7,16,SSD,Dedicated,Windows 10,1.23,1849.0
125,Lenovo,Other,Notebook,15.6,Full HD,i5,8,SSD,Dedicated,No OS,2.2,629.0
862,Asus,Other,Gaming,15.6,Full HD,i7,16,Hybrid,Dedicated,Windows 10,2.1,1899.0
322,Lenovo,Other,Notebook,13.3,HD,Other,4,Other,Integrated,Chrome OS,1.45,459.9
241,Acer,Other,Notebook,15.6,HD,i3,4,HDD,Integrated,Linux,2.1,390.0
155,Lenovo,Other,Notebook,15.6,HD,i5,4,SSD,Integrated,Windows 10,1.9,498.0
98,Dell,Inspiron 3567,Notebook,15.6,Full HD,i7,8,HDD,Dedicated,Linux,2.2,599.9
1123,HP,Other,Notebook,15.6,Full HD,Other,4,HDD,Dedicated,Windows 10,2.1,398.0
588,Dell,Other,Notebook,15.6,HD,i5,8,HDD,Integrated,Windows 10,1.9,1008.52
388,Asus,Other,Gaming,15.6,Full HD,i7,8,Hybrid,Dedicated,Windows 10,2.3,1655.0
1091,Lenovo,Other,Notebook,15.6,Full HD,i5,4,HDD,Dedicated,Windows 10,2.3,977.0
325,HP,Other,Notebook,14.0,Full HD,i7,8,SSD,Integrated,Windows 10,1.48,1292.0
956,Acer,Other,Notebook,15.6,HD,i5,4,HDD,Integrated,Windows 10,2.23,619.0
156,MSI,Other,Gaming,17.3,Full HD,i7,16,Hybrid,Dedicated,Windows 10,2.8,1890.0
76,Acer,Other,Notebook,14.0,HD,i3,8,HDD,Integrated,Windows 10,2.1,389.0
650,Lenovo,ThinkPad X1,Ultrabook,14.0,Full HD,i7,16,SSD,Integrated,Windows 10,1.14,2450.0
231,Dell,Inspiron 5567,Notebook,15.6,Full HD,i7,16,HDD,Dedicated,Windows 10,2.3,859.01
918,HP,Other,Netbook,12.5,Full HD,i7,8,SSD,Integrated,Windows 10,1.26,1483.0
731,Dell,Alienware 17,Gaming,17.3,4K,i7,32,Hybrid,Dedicated,Windows 10,4.36,3659.4
420,Acer,Other,2 in 1 Convertible,13.3,Full HD,i7,8,SSD,Integrated,Windows 10,1.6,789.01
1000,HP,Other,Notebook,15.6,Full HD,i5,8,HDD,Integrated,Windows 10,2.04,806.0
453,Acer,Other,Notebook,15.6,HD,i5,4,HDD,Integrated,Linux,2.4,441.8
1192,Lenovo,Other,Notebook,15.6,Full HD,i7,8,HDD,Dedicated,No OS,2.2,709.0
157,HP,EliteBook 840,Ultrabook,14.0,Full HD,i5,4,SSD,Integrated,Windows 10,1.48,1082.0
167,Lenovo,Legion Y520-15IKBN,Gaming,15.6,Full HD,i7,16,SSD,Dedicated,Windows 10,2.5,1079.0
1237,Acer,Other,2 in 1 Convertible,14.0,Full HD,i7,8,SSD,Integrated,Windows 10,1.2,1149.0
289,Acer,Other,Notebook,15.6,Full HD,i7,8,SSD,Dedicated,Windows 10,3.0,951.0
1146,Lenovo,Other,2 in 1 Convertible,14.0,Full HD,i7,8,SSD,Dedicated,Windows 7,1.8,2050.38
1256,MSI,Other,Gaming,15.6,Full HD,i7,8,Hybrid,Dedicated,Windows 10,2.3,1169.0
1064,Lenovo,ThinkPad X1,Notebook,14.0,Other,i7,16,SSD,Integrated,Windows 7,1.1,2620.0
414,Dell,Other,Ultrabook,14.0,Full HD,i7,8,SSD,Integrated,Windows 10,1.36,1680.0
245,Lenovo,IdeaPad 320-15ISK,Notebook,15.6,HD,i3,8,SSD,Integrated,Windows 10,2.2,589.0
239,Acer,Other,2 in 1 Convertible,13.3,Full HD,i5,8,SSD,Integrated,Windows 10,1.6,689.0
1226,Acer,Other,Notebook,17.3,Other,i3,8,HDD,Dedicated,Windows 10,3.3,629.0
1035,Toshiba,Other,Ultrabook,13.3,Full HD,i5,8,SSD,Integrated,Windows 10,1.2,1590.0
1222,Asus,Other,Gaming,15.6,Full HD,i7,8,HDD,Dedicated,Windows 10,2.2,1169.0
430,Asus,Other,Notebook,15.6,Full HD,i3,8,HDD,Dedicated,Linux,2.3,597.0
1177,HP,Other,2 in 1 Convertible,13.3,Other,i7,8,SSD,Integrated,Windows 10,1.48,2041.0
925,Lenovo,Other,Notebook,15.6,Full HD,i7,6,SSD,Dedicated,Windows 10,2.2,789.0
906,Toshiba,Other,Notebook,13.3,Full HD,i5,8,SSD,Integrated,Windows 10,1.05,1475.0
442,Asus,Other,Gaming,17.3,Full HD,Other,8,Hybrid,Dedicated,Windows 10,3.2,1695.0
797,Acer,Other,Gaming,17.3,Full HD,i7,16,Hybrid,Dedicated,Windows 10,4.2,2299.0
116,HP,Probook 440,Notebook,14.0,HD,i5,4,HDD,Integrated,Windows 10,1.63,722.0
10,Acer,Other,Ultrabook,14.0,Full HD,i5,8,SSD,Integrated,Windows 10,1.6,770.0
563,Mediacom,Other,Notebook,13.3,Full HD,Other,4,Other,Integrated,Windows 10,1.35,255.0
883,Toshiba,Other,Notebook,15.6,Full HD,i7,8,SSD,Integrated,Windows 10,2.0,1388.0
1216,Acer,Aspire 3,Notebook,15.6,HD,Other,4,HDD,Integrated,Linux,2.1,272.0
994,Dell,Other,2 in 1 Convertible,15.6,Full HD,i7,12,SSD,Integrated,Windows 10,2.19,1299.0
56,Dell,Inspiron 3576,Notebook,15.6,Full HD,i7,8,SSD,Dedicated,Windows 10,2.13,767.8
565,HP,Other,Notebook,15.6,Full HD,Other,6,SSD,Dedicated,Windows 10,1.91,568.9
89,HP,250 G6,Notebook,15.6,Full HD,i5,8,SSD,Integrated,Windows 10,1.96,598.99
1249,Razer,Other,Gaming,14.0,Full HD,i7,16,SSD,Dedicated,Windows 10,1.95,3499.0
506,Lenovo,Other,Notebook,15.6,Full HD,i5,8,SSD,Integrated,Windows 10,2.3,911.0
123,Acer,Other,Notebook,15.6,Full HD,i3,6,HDD,Integrated,Windows 10,2.1,479.0
909,HP,ProBook 450,Notebook,15.6,Full HD,i7,8,HDD,Dedicated,Windows 10,2.04,900.0
235,Asus,Other,Notebook,15.6,HD,i3,4,HDD,Integrated,Windows 10,2.37,398.99
1274,Asus,Other,Gaming,17.3,Full HD,i7,16,Hybrid,Dedicated,Windows 10,4.0,1900.0
853,Dell,Vostro 3568,Notebook,15.6,HD,i5,8,SSD,Integrated,Windows 10,2.18,713.99
935,HP,EliteBook 850,Ultrabook,15.6,Full HD,i7,8,SSD,Dedicated,Windows 10,1.84,1296.99
1266,Lenovo,Other,Notebook,15.6,Full HD,i5,8,SSD,Integrated,No OS,2.3,573.0
32,Asus,Other,Notebook,14.0,HD,Other,2,Other,Dedicated,Windows 10,1.65,199.0
828,Dell,Other,Notebook,14.0,HD,i5,4,HDD,Integrated,Windows 10,1.76,755.0
1286,HP,Other,Netbook,11.6,HD,Other,2,Other,Integrated,Windows 10,1.17,209.0
689,Asus,Other,Notebook,15.6,HD,Other,4,SSD,Integrated,Windows 10,1.86,419.0
851,Dell,Alienware 17,Gaming,17.3,Full HD,i7,32,Hybrid,Dedicated,Windows 10,4.42,3072.89
1012,Asus,Other,Gaming,15.6,Full HD,i7,16,Hybrid,Dedicated,Windows 10,2.5,1799.0
270,Dell,Other,2 in 1 Convertible,15.6,Full HD,i5,8,SSD,Integrated,Windows 10,2.67,799.0
121,Asus,Other,Notebook,17.3,Full HD,i3,4,HDD,Dedicated,Windows 10,2.0,564.0
794,MSI,Other,Gaming,14.0,Full HD,i7,16,Hybrid,Dedicated,Windows 10,1.6,1891.0
197,Lenovo,Other,Notebook,17.3,Other,i5,8,SSD,Dedicated,No OS,2.8,698.0
686,LG,Other,Ultrabook,15.6,Full HD,i7,8,SSD,Integrated,Windows 10,1.09,2299.0
1161,HP,Other,Workstation,15.6,Full HD,i7,8,SSD,Dedicated,Windows 7,2.59,2229.0
